gpu_type,coolant_type,coolant_key,time,gpu_power,z,initial_temperature,coolant_density,temperature,source_file
2060s,2100A,Novec_2100A,1.057,19.6,0.0,50.5,1601.0,51.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.152,19.6,0.0,50.5,1601.0,51.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.2560000000000002,20.0,0.0,50.5,1601.0,51.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.36,11.8,0.0,50.5,1601.0,50.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.45,10.1,0.0,50.5,1601.0,46.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.554,10.0,0.0,50.5,1601.0,45.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.645,9.6,0.0,50.5,1601.0,44.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.749,10.3,0.0,50.5,1601.0,43.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.852,10.0,0.0,50.5,1601.0,43.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.935,10.2,0.0,50.5,1601.0,43.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.041,10.8,0.0,50.5,1601.0,42.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.131,12.6,0.0,50.5,1601.0,43.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.21,13.9,0.0,50.5,1601.0,44.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.114,9.3,0.0,45.5,1601.0,43.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.209,9.7,0.0,45.5,1601.0,42.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.423,9.4,0.0,45.5,1601.0,42.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.5,9.6,0.0,45.5,1601.0,42.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.58,10.2,0.0,45.5,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.671,10.1,0.0,45.5,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.79,9.3,0.0,45.5,1601.0,41.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.899000000000001,10.0,0.0,45.5,1601.0,41.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.972,10.2,0.0,45.5,1601.0,41.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.162,9.8,0.0,45.5,1601.0,41.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.267,9.6,0.0,45.5,1601.0,41.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.364,10.2,0.0,45.5,1601.0,41.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.458,19.4,0.0,45.5,1601.0,46.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.069,9.8,0.0,46.7,1601.0,44.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.162,9.4,0.0,46.7,1601.0,43.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.246,9.9,0.0,46.7,1601.0,42.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.339,9.4,0.0,46.7,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.44,9.4,0.0,46.7,1601.0,41.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.545,10.0,0.0,46.7,1601.0,41.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.75,9.1,0.0,46.7,1601.0,41.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.829,18.0,0.0,46.7,1601.0,45.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.967,18.6,0.0,46.7,1601.0,47.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.135,19.5,0.0,46.7,1601.0,49.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.265,9.4,0.0,46.7,1601.0,45.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.564,10.5,0.0,46.7,1601.0,43.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.1,11.5,0.0,43.0,1601.0,43.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.213,9.7,0.0,43.0,1601.0,42.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.291,9.7,0.0,43.0,1601.0,42.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.383,13.2,0.0,43.0,1601.0,42.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.493,12.1,0.0,43.0,1601.0,43.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.605,9.6,0.0,43.0,1601.0,42.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.68,9.8,0.0,43.0,1601.0,41.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.781,9.9,0.0,43.0,1601.0,41.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.892,9.7,0.0,43.0,1601.0,41.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.978,9.2,0.0,43.0,1601.0,41.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.095,9.5,0.0,43.0,1601.0,40.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.164,11.3,0.0,43.0,1601.0,41.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.285,9.7,0.0,43.0,1601.0,41.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.105,9.4,0.0,40.9,1601.0,40.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.205,18.0,0.0,40.9,1601.0,44.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.329,19.9,0.0,40.9,1601.0,47.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.406,19.5,0.0,40.9,1601.0,49.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.518,11.8,0.0,40.9,1601.0,47.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.615,10.8,0.0,40.9,1601.0,45.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.7,10.0,0.0,40.9,1601.0,44.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.8,12.9,0.0,40.9,1601.0,44.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.89,16.0,0.0,40.9,1601.0,44.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.988,19.6,0.0,40.9,1601.0,46.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.061,14.0,0.0,40.9,1601.0,46.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.183,10.8,0.0,40.9,1601.0,44.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.137,9.6,0.0,43.3,1601.0,42.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.348,10.5,0.0,43.3,1601.0,42.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.435,9.7,0.0,43.3,1601.0,42.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.543,10.0,0.0,43.3,1601.0,42.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.734,10.6,0.0,43.3,1601.0,42.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.9559999999999995,9.8,0.0,43.3,1601.0,42.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.068,9.6,0.0,43.3,1601.0,41.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.13,10.8,0.0,43.3,1601.0,42.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.221,9.8,0.0,43.3,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.338,10.1,0.0,43.3,1601.0,42.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.45,11.1,0.0,43.3,1601.0,41.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.517,11.3,0.0,43.3,1601.0,41.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.644,12.7,0.0,43.3,1601.0,42.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.082,12.3,0.0,42.8,1601.0,42.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.164,23.4,0.0,42.8,1601.0,46.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.266,13.9,0.0,42.8,1601.0,47.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.37,10.5,0.0,42.8,1601.0,46.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.477,10.4,0.0,42.8,1601.0,44.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.817,18.3,0.0,42.8,1601.0,46.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.861,21.3,0.0,42.8,1601.0,49.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.972,19.5,0.0,42.8,1601.0,50.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.06,12.4,0.0,42.8,1601.0,47.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.155,11.0,0.0,42.8,1601.0,45.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.271,9.8,0.0,42.8,1601.0,44.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.365,10.4,0.0,42.8,1601.0,43.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.131,13.6,0.0,43.6,1601.0,44.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.2359999999999998,10.7,0.0,43.6,1601.0,43.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.3449999999999998,11.5,0.0,43.6,1601.0,43.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.429,13.9,0.0,43.6,1601.0,44.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.527,10.2,0.0,43.6,1601.0,44.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.599,12.5,0.0,43.6,1601.0,44.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.697,13.8,0.0,43.6,1601.0,44.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.78,19.5,0.0,43.6,1601.0,48.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.984,14.2,0.0,43.6,1601.0,49.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.085,10.8,0.0,43.6,1601.0,46.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.343,9.6,0.0,43.6,1601.0,44.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.453,9.3,0.0,43.6,1601.0,43.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.52,9.4,0.0,43.6,1601.0,42.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.089,9.4,0.0,42.7,1601.0,42.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.199,10.2,0.0,42.7,1601.0,42.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.285,10.4,0.0,42.7,1601.0,41.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.385,10.3,0.0,42.7,1601.0,42.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.487,10.0,0.0,42.7,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.609,9.9,0.0,42.7,1601.0,41.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.697,11.0,0.0,42.7,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.797,9.6,0.0,42.7,1601.0,42.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.011,9.7,0.0,42.7,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.15,9.6,0.0,42.7,1601.0,41.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.233,11.4,0.0,42.7,1601.0,41.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.329,10.1,0.0,42.7,1601.0,41.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.099,11.1,0.0,41.8,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.181,16.7,0.0,41.8,1601.0,45.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.282,13.9,0.0,41.8,1601.0,45.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.39,10.0,0.0,41.8,1601.0,43.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.524,9.5,0.0,41.8,1601.0,42.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.844,9.4,0.0,41.8,1601.0,42.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.948,10.0,0.0,41.8,1601.0,42.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.045,9.3,0.0,41.8,1601.0,41.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.139,9.2,0.0,41.8,1601.0,41.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.248,10.7,0.0,41.8,1601.0,41.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.375,11.0,0.0,41.8,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.624,9.8,0.0,41.8,1601.0,41.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.1400000000000001,10.2,0.0,41.5,1601.0,41.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.207,10.0,0.0,41.5,1601.0,41.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.328,10.1,0.0,41.5,1601.0,41.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.436,10.3,0.0,41.5,1601.0,41.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.496,12.1,0.0,41.5,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.586,9.8,0.0,41.5,1601.0,42.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.684,10.3,0.0,41.5,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.797,11.0,0.0,41.5,1601.0,42.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.88,13.1,0.0,41.5,1601.0,42.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.979,13.8,0.0,41.5,1601.0,45.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.08,10.4,0.0,41.5,1601.0,44.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.317,9.7,0.0,41.5,1601.0,43.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.423,9.7,0.0,41.5,1601.0,42.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.092,11.4,0.0,42.2,1601.0,42.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.197,9.6,0.0,42.2,1601.0,42.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.298,9.6,0.0,42.2,1601.0,41.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.389,9.8,0.0,42.2,1601.0,41.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.462,11.8,0.0,42.2,1601.0,42.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.587,14.3,0.0,42.2,1601.0,44.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.6690000000000005,13.3,0.0,42.2,1601.0,44.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.783,9.9,0.0,42.2,1601.0,43.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.867,10.1,0.0,42.2,1601.0,43.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.989,11.2,0.0,42.2,1601.0,43.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.043,16.3,0.0,42.2,1601.0,44.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.137,15.5,0.0,42.2,1601.0,46.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.248,17.9,0.0,42.2,1601.0,47.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.101,14.4,0.0,48.5,1601.0,47.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.196,10.5,0.0,48.5,1601.0,46.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.325,9.8,0.0,48.5,1601.0,44.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.419,12.4,0.0,48.5,1601.0,44.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.546,11.5,0.0,48.5,1601.0,43.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.701,9.9,0.0,48.5,1601.0,43.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.806,10.7,0.0,48.5,1601.0,43.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.869,10.7,0.0,48.5,1601.0,43.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.971,11.0,0.0,48.5,1601.0,43.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.1,10.3,0.0,48.5,1601.0,42.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.173,10.8,0.0,48.5,1601.0,42.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.252,12.8,0.0,48.5,1601.0,43.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.096,13.1,0.0,46.2,1601.0,45.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.195,13.8,0.0,46.2,1601.0,44.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.287,20.6,0.0,46.2,1601.0,50.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.381,27.8,0.0,46.2,1601.0,51.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.466,24.4,0.0,46.2,1601.0,51.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.582,15.6,0.0,46.2,1601.0,51.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.68,17.8,0.0,46.2,1601.0,51.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.782,11.2,0.0,46.2,1601.0,47.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.0,10.1,0.0,46.2,1601.0,45.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.172,14.9,0.0,46.2,1601.0,46.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.276,14.7,0.0,46.2,1601.0,47.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.382,12.4,0.0,46.2,1601.0,46.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.479,11.0,0.0,46.2,1601.0,45.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.071,12.5,0.0,44.8,1601.0,44.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.189,12.0,0.0,44.8,1601.0,44.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.268,18.7,0.0,44.8,1601.0,46.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.357,17.6,0.0,44.8,1601.0,47.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.451,18.5,0.0,44.8,1601.0,49.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.536,16.3,0.0,44.8,1601.0,50.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.648,19.7,0.0,44.8,1601.0,51.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.769,30.5,0.0,44.8,1601.0,56.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.942,39.5,0.0,44.8,1601.0,61.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.044,15.1,0.0,44.8,1601.0,55.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.148,14.3,0.0,44.8,1601.0,52.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.279,11.1,0.0,44.8,1601.0,48.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.073,16.7,0.0,46.9,1601.0,47.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.156,15.4,0.0,46.9,1601.0,48.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.269,15.8,0.0,46.9,1601.0,47.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.374,15.2,0.0,46.9,1601.0,49.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.49,16.5,0.0,46.9,1601.0,48.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.576,21.7,0.0,46.9,1601.0,51.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.674,22.0,0.0,46.9,1601.0,52.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.9,21.7,0.0,46.9,1601.0,51.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.126,88.5,0.0,46.9,1601.0,69.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.2,76.2,0.0,46.9,1601.0,68.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.295,71.8,0.0,46.9,1601.0,71.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.398,134.9,0.0,46.9,1601.0,76.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,0.992,30.2,0.0,65.2,1601.0,61.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.105,14.1,0.0,65.2,1601.0,53.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.315,9.6,0.0,65.2,1601.0,48.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.423,10.5,0.0,65.2,1601.0,46.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.515,9.4,0.0,65.2,1601.0,45.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.6129999999999995,10.2,0.0,65.2,1601.0,44.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.724,10.8,0.0,65.2,1601.0,44.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.82,10.5,0.0,65.2,1601.0,43.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.925,9.7,0.0,65.2,1601.0,43.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.132,10.4,0.0,65.2,1601.0,42.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.232,11.6,0.0,65.2,1601.0,43.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.29,14.1,0.0,65.2,1601.0,44.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.389,14.4,0.0,65.2,1601.0,45.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.113,9.8,0.0,44.8,1601.0,43.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.23,10.4,0.0,44.8,1601.0,43.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.367,10.8,0.0,44.8,1601.0,43.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.42,17.1,0.0,44.8,1601.0,47.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.52,14.0,0.0,44.8,1601.0,46.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.615,13.8,0.0,44.8,1601.0,46.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.731,10.7,0.0,44.8,1601.0,45.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.814,10.2,0.0,44.8,1601.0,44.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.942,9.6,0.0,44.8,1601.0,43.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.035,9.9,0.0,44.8,1601.0,42.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.136,10.7,0.0,44.8,1601.0,42.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.222,10.4,0.0,44.8,1601.0,42.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.302,10.2,0.0,44.8,1601.0,42.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.188,11.0,0.0,42.8,1601.0,42.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.306,13.1,0.0,42.8,1601.0,43.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.5380000000000003,10.0,0.0,42.8,1601.0,42.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.633,10.5,0.0,42.8,1601.0,42.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.726,12.4,0.0,42.8,1601.0,42.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.825,17.3,0.0,42.8,1601.0,44.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.8870000000000005,16.0,0.0,42.8,1601.0,45.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.997,18.7,0.0,42.8,1601.0,47.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.087,18.0,0.0,42.8,1601.0,49.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.193,14.2,0.0,42.8,1601.0,48.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.301,14.0,0.0,42.8,1601.0,47.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.417,10.8,0.0,42.8,1601.0,46.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.108,10.0,0.0,44.9,1601.0,43.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.176,10.8,0.0,44.9,1601.0,43.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.324,11.3,0.0,44.9,1601.0,43.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.409,9.7,0.0,44.9,1601.0,43.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.5120000000000005,9.8,0.0,44.9,1601.0,43.1,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.592,11.1,0.0,44.9,1601.0,43.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.691,13.3,0.0,44.9,1601.0,43.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.850999999999999,16.2,0.0,44.9,1601.0,44.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.889,15.3,0.0,44.9,1601.0,45.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.975,17.2,0.0,44.9,1601.0,46.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.175,15.7,0.0,44.9,1601.0,48.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.268,19.8,0.0,44.9,1601.0,50.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.384,29.6,0.0,44.9,1601.0,53.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.085,15.0,0.0,52.4,1601.0,51.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.199,11.8,0.0,52.4,1601.0,47.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.304,10.6,0.0,52.4,1601.0,45.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.442,11.5,0.0,52.4,1601.0,45.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.665,9.8,0.0,52.4,1601.0,44.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.754,10.6,0.0,52.4,1601.0,44.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.958,11.0,0.0,52.4,1601.0,44.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.041,18.2,0.0,52.4,1601.0,46.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.142,15.4,0.0,52.4,1601.0,47.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.228,16.7,0.0,52.4,1601.0,46.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.335,16.0,0.0,52.4,1601.0,48.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.434,17.2,0.0,52.4,1601.0,49.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.093,29.2,0.0,51.2,1601.0,55.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.203,20.9,0.0,51.2,1601.0,54.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.294,49.0,0.0,51.2,1601.0,60.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.399,39.1,0.0,51.2,1601.0,61.6,2060s_2100A.txt
